ProjectId,CityId,LocalityId,ProjectName,BuilderId,BuilderName 
2484,21,248,Venus Hydra,1302,Venus Homes Builders 
2486,34,566,Srivilas Roopam,1304,Srivilas Constructions Builders
2488,252,7982,Bindu Amulya,1308,Bindu Promoters And Developers 
2490,7,9096,Morpheus Violet,1572,Morpheus Group Builders
256767,36,6633,Arham Harmony,35869,Arham Builders 
2494,252,2377,Bluejay pacific,962,Bluejay Enterprises Builders 
2496,21,257,Prestige Garden Bay,13,Prestige Group 
2498,217,11554,GR Sagar Nivas,6548,Gr Constructions Builders
2500,252,2378,Vaastu lavender,1314,Vaastu Structure Builders
209795,218,4969,Chandak Paloma,8882,Chandak Group
2504,22,389,Nester Raga,1318,Nester Projects Builders 
2506,19,43914,Shree Manibhadra Swapna Sankul,1320,Shree Manibhadra Group Builders
2508,19,8442,Sonigara Pearl,1324,Sonigara Homes Builders
2510,19,15630,Chamadia Plenum Park,1326,Chamadia Landmark Builders 
2512,177,5691,UB Shri Shyam Sarovar,1328,UB Developers
2514,269,967,Kirthana Lotus Gardens,1330,Kirthana Properties Builders 
255369,162,8784,Anmol Plaza,6774, 
2518,268,5562,Shapath Padmalaya Phase 2,1332,Shapath Constructions Builders 
2520,34,5917,Vishwakarma Sky Park Residences,1334,Vishwakarma Real Estates And Constructions Builders
2522,217,45206,TG Solitaire,1336,TG Developers
2524,28,1495,Unique Pearl,1338,Unique Property
2528,15,1452,Greenwood Estate Phase 2,23677,Ecostar And Qualcon Properties 
275595,207,39070,Apex City,25130,Apex Group of Companies
2530,34,628,Mugundhan Visalatchi Enclave Phase 1,1340,Mugundhan Projects Builders
2532,177,2323,OSD Aradhana Residency,40123,OSD Group
2534,15,1452,Space India Green Earth Residency,588,Space India Builders and Developers
296003,323,32441,Leolyn Homes,74291,Home Makers Goa
269485,19,6260,Godrej Greens,214,Godrej Properties
2536,7,8094,Jaypee Greens Yamuna Vihar Plots,12,Jaypee Greens
2538,269,5136,Dwaraka Trendz,12624,Shiv Shakti Group
2544,177,2325,Miracle Ananda,1348,Miracle Build Teck Pvt. Ltd. 
681,217,17258,Sobha Cinnamon,16,Sobha Developers 
278335,62,9830,Silpa Hill View Park,61417,Siri Venkateswara Developers and Silpa Group 
2548,36,713,Fomra Colours,6774, 
2550,19,6270,SSD Sai Dreams,1354,SSD Group
2552,269,8045,LandIndia Twin Diamonds,1356,Landindia Developers 
2554,22,11606,Vishnu Parimala Trinity,1576,Vishnu Priya Group Builders
276183,218,17872,DGS Sheetal Villa,5766,Dgs Group Builders 
2556,19,6234,Laukik Ishan,1360,Laukik 
2560,19,1210,Kharde Patil Woods Royale,1362,Kharde Patil Builders
2562,331,33323,Avalon Rangoli,1364,Avalon Group Builders
2564,36,6032,Dharani Grand,1366,Dharani Developers 
2566,14,5172,Wadhwa The Address,1316,The Wadhwa Group 
2568,217,6811,Shree Mookambika Tirumala Sunidhi Desire,1370,Shree Mookambika Builders
2570,217,2249,Lotus Petals,1372,Lotus Developers 
2572,28,1503,D S Meadows Square,1374,D S Realtors Builders
2574,26,6832,Mass Realtors Rang Be Rang Enclave,1376,Mass Realators Company 
2576,269,8045,Tripura Residency,1378,Tripura Constructions Builders 
2578,218,4967,Thakur Vishnu Shivam Tower,1380,Thakur Group Builders
2580,33,3738,Nager Senior Citizen Paradise,1382,Nager Properties 
2582,268,8048,EAPL Sri Tirumala Harmony,1384,Eapl Group Builders
2586,19,18068,Adi Horizons,1346,Adi Group Builders 
2588,177,5685,Abhinandan Siddhi Homes,1386,Abhinandan Projects Builders 
2590,19,15580,Ambiience Greendale,1388,Ambiience Developments Builders
260139,444,30709,Amazze VP Dream City,47131,Amazze Homes 
2592,8,6121,SLR Neemrana Holiday Homes,1390,SLR Manpower Projects (P) Ltd. 
2594,252,6770,UK Namma Mane,1392,U K Projects 
2596,217,2260,AVS Sunfield,1394,AVS Builders 
2598,14,455,Choice Ambe Bhavan,16040,Choice Group of Companies
2600,185,7378,Raj Vikas,1398,Abhinitha Foundations Builders 
2602,185,7378,Vikas Flora,1398,Abhinitha Foundations Builders 
261060,217,11302,TG Aashraya,1336,TG Developers
2604,36,6526,RKN Jayam Flats,19925,R.K.N Construction 
2608,34,3753,Estates Arputhalaya,1402,Estates India and KKM Housing
2610,36,8031,Sara Lotus,1404,Sara Homes 
2612,172,7176,Nirwana Greens 4,18832,Vision India Group 
276063,177,2319,Devi Kripa Roopkamal,38217,Devi Kripa Builders
2614,22,368,Pavani Pleasant,1408,Pavani Group 
265191,185,15660,Green Fields Crown City,7302,Green Field Builders 
2618,34,566,Mithun homes,1414,Mithun Homes And Properties Builders 
2620,172,14534,Yellowstone Landmark Infocity,1416,Yellowstone Landmark Infocity
307167,456,14970,Urja Maza Ghar,82865,Urja Infrastructures 
2624,15,17470,Choice Ambe Shraddha,16040,Choice Group of Companies
2626,268,7024,GKs Pride,438,GK Developer 
2628,269,3334,Rainbow Vistas at Rock Garden,58271,Cybercity Builders and Ashoka Developers 
2630,46,6197,Satyamev Surya,732,Shree Gayatri Realty Builders
2632,34,565,Madhurams Lotus,1420,Madhurams
2634,36,3681,Sri Santhi Soorya Apartment,1422,Sri Santhi Builders
2636,269,5560,Aakruti Richmond Villa,1424,Aakruti Avenues Builders 
2638,192,759656,Ponni Delta,1426,Natesan Housing
2640,34,556,Fomra Bay Pristine,1352,Fomra Housing Builders 
2642,15,1460,Radhe Krishna Residency,844,Radhe Krishna Builders 
2646,217,6812,SMR Vinay Meenakshi,122,SMR Builder
2648,21,6793,Jupiter Commanders Aeroview,1430,Jupiter Infrastructure Builders
2650,217,12510,Neo Passion Elite,1432,Neo Homes Builders 
2652,36,6032,Swathi Lands,1434,Swathi Lands Promoters 
2654,22,5355,MSR Dew Drops,1436,MSR Dwellings Pvt Ltd
264019,222,9780,Migsun Wynn,4948,Migsun Group 
324881,96,9072,Shree 2,81973,Shreeji Infrastructure Vadodara
2658,269,5226,Mourya Kingway,1440,Mourya Constructions Builders
2660,269,34353,Endeco's Pristine,1442,Endeco Builders And Devlopers Builders 
2662,269,3309,Mansani Thirumala Residency,1444,Mansani Constructions
2664,19,6228,Kohinoor Palm Village,269,Kohinoor Properties
2670,275,1335,Tanvi Eminence,378,Tanvi Group
2672,252,40827,Vaastu hill view 2,1314,Vaastu Structure Builders
2674,26,5094,Sunirman Moonlit Enclave,1450,Sunirman Builders
2678,185,7369,RR Kaliru,1454,RR Housing Builders
2680,268,2660,Alroy Sri Sai Vani Venture,1456,Alroy infra projects 
301501,19,7588,Royale Bliss,79101,Jay Ganesh Associates
2684,268,6993,SAMSKRUTHI SPRINGDALE,1458,Samskruthi Foundations Builders
2686,36,6032,Vasavi Swathi,153,Vasavi Builders
2688,21,11986,ATZ Splendor,1460,ATZ Properties Builders
2690,219,5102,Bhoomi Acres,1462,Bhoomi Group Builders
2692,26,488,Rupayan Su Casa Towers,1464,Rupayan Construction Builders
2694,217,2259,Mayur Brundavan,1466,Mayur Group Builders 
2696,22,2268,Mayur Daffodils,1466,Mayur Group Builders 
2698,21,5311,S K Sahara Layout,1468,S.K.STAR GROUPS
2700,27,608,Isha Ashoka Heights,1470,Isha Group 
301335,94,26083,Radhe Sankul,78269,Radhe Developers Rajkot
25104,140,9472,Rishikesh Nirmaan The Bellaire Mint,42351,Kamal Krishna Builders 
9415,2,288,PP City Centre,60169,Puri Group 
302639,274,8198,VIP Poonam Heights,31651,VIP Realtors 
2704,205,9086,Lakshya O2,28703,Lakshya Realinfra
2706,34,26343,Topographical Viena,1474,Topographical Pvt. Ltd.
